stock_code,market,alias,alias_type,source,confidence,updated_at
00073,HK,00073,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876222
00073,HK,亚洲果业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876224
00075,HK,00075,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876235
00075,HK,渝太地产,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876237
00076,HK,00076,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876248
00076,HK,谊砾控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876250
00077,HK,00077,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876261
00077,HK,进智公共交通,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876263
00078,HK,00078,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876274
00078,HK,富豪酒店,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876276
00079,HK,00079,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876289
00079,HK,世纪建业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876291
00080,HK,00080,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876304
00080,HK,CAI控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876306
00081,HK,00081,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876318
00081,HK,中国海外宏洋集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876320
00082,HK,00082,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876331
00082,HK,疯狂体育,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876333
00083,HK,00083,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876343
00083,HK,信和置业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876345
00084,HK,00084,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876356
00084,HK,宝光实业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876358
00085,HK,00085,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876370
00085,HK,中电华大科技,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876372
00086,HK,00086,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876383
00086,HK,新鸿基公司,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876385
00087,HK,00087,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876396
00087,HK,太古股份公司B,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876398
00088,HK,00088,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876409
00088,HK,大昌集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876411
00089,HK,00089,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876422
00089,HK,大生地产,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876424
00090,HK,00090,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876434
00090,HK,普星能量,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876436
00092,HK,00092,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876447
00092,HK,冠军科技集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876449
00093,HK,00093,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876460
00093,HK,零在科技金融,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876462
00094,HK,00094,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876473
00094,HK,绿心集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876476
00095,HK,00095,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876494
00095,HK,绿景中国地产,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876496
00096,HK,00096,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876507
00096,HK,友成控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876509
00097,HK,00097,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876520
00097,HK,恒基发展,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876522
00098,HK,00098,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876533
00098,HK,兴发铝业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876534
00099,HK,00099,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876545
00099,HK,王氏国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876547
00100,HK,00100,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876558
00100,HK,MINIMAX-W,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876560
00101,HK,00101,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876571
00101,HK,恒隆地产,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876573
00103,HK,00103,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876583
00103,HK,首佳科技,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876585
00104,HK,00104,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876596
00104,HK,冠亚商业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876598
00105,HK,00105,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876609
00105,HK,凯联国际酒店,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876611
00106,HK,00106,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876622
00106,HK,朗诗绿色管理,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876624
00107,HK,00107,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876634
00107,HK,四川成渝高速公路,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876636
00108,HK,00108,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876647
00108,HK,国锐生活,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876649
00110,HK,00110,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876660
00110,HK,中国长远,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876661
00111,HK,00111,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876672
00111,HK,信达国际控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876674
00113,HK,00113,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876685
00113,HK,迪生创建,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876687
00114,HK,00114,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876698
00114,HK,兴利集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876700
00115,HK,00115,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.876710
00115,HK,钧濠集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.876712
